2018-09-24 16:00:03 [ 49,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 49,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 49,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 49,I]	Signal min: 0
2018-09-24 16:00:03 [ 49,I]	Signal max: 15
2018-09-24 16:00:03 [ 50,A]	Signal name: LDW_Availability_Left
2018-09-24 16:00:03 [ 50,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 50,D]	Signal len: 1
2018-09-24 16:00:03 [ 50,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 50,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 50,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 50,I]	Signal min: 0
2018-09-24 16:00:03 [ 50,I]	Signal max: 1
2018-09-24 16:00:03 [ 51,A]	Signal name: LDW_Availability_Right
2018-09-24 16:00:03 [ 51,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 51,D]	Signal len: 1
2018-09-24 16:00:03 [ 51,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 51,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 51,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 51,I]	Signal min: 0
2018-09-24 16:00:03 [ 51,I]	Signal max: 1
2018-09-24 16:00:03 [ 52,A]	Signal name: Undocumented1
2018-09-24 16:00:03 [ 52,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 52,D]	Signal len: 1
2018-09-24 16:00:03 [ 52,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 52,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 52,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 52,I]	Signal min: 0
2018-09-24 16:00:03 [ 52,I]	Signal max: 1
2018-09-24 16:00:03 [ 53,A]	Signal name: Undocumented2
2018-09-24 16:00:03 [ 53,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 53,D]	Signal len: 1
2018-09-24 16:00:03 [ 53,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 53,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 53,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 53,I]	Signal min: 0
2018-09-24 16:00:03 [ 53,I]	Signal max: 1
2018-09-24 16:00:03 [ 54,A]	Signal name: Fixed_Horizon
2018-09-24 16:00:03 [ 54,B]	Message name: Fixed_FOE
2018-09-24 16:00:03 [ 54,D]	Signal len: 32
2018-09-24 16:00:03 [ 54,F]	Signal Type: IEEE Float
2018-09-24 16:00:03 [ 54,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 54,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 54,I]	Signal min: -3.4e+038
2018-09-24 16:00:03 [ 54,I]	Signal max: 3.4e+038
2018-09-24 16:00:03 [ 55,A]	Signal name: Fixed_Yaw
2018-09-24 16:00:03 [ 55,B]	Message name: Fixed_FOE
2018-09-24 16:00:03 [ 55,D]	Signal len: 32
2018-09-24 16:00:03 [ 55,F]	Signal Type: IEEE Float
2018-09-24 16:00:03 [ 55,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 55,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 55,I]	Signal min: -3.4e+038
2018-09-24 16:00:03 [ 55,I]	Signal max: 3.4e+038
2018-09-24 16:00:03 [ 56,A]	Signal name: CA
2018-09-24 16:00:03 [ 56,B]	Message name: Lane
2018-09-24 16:00:03 [ 56,D]	Signal len: 1
2018-09-24 16:00:03 [ 56,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 56,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 56,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 56,I]	Signal min: 0
2018-09-24 16:00:03 [ 56,I]	Signal max: 1
2018-09-24 16:00:03 [ 57,A]	Signal name: Lane_Curvature
2018-09-24 16:00:03 [ 57,B]	Message name: Lane
2018-09-24 16:00:03 [ 57,D]	Signal len: 16
2018-09-24 16:00:03 [ 57,F]	Signal Type: Signed
2018-09-24 16:00:03 [ 57,G]	Signal Factor: 3.81e-006
2018-09-24 16:00:03 [ 57,H]	Signal Offset: 0
